date,avg_polarity,std_polarity,article_count,avg_vader_compound,std_vader_compound,positive_ratio,close,high,low,open,volume,daily_return
2011-12-02,0.125,0.1768,2,-0.119,0.4545,0.5,19.78849983215332,20.102355119354872,19.74142213770226,20.07881552384288,52293800,-0.23730829943443554
2011-12-05,0.0,0.0,2,0.148,0.2093,0.0,20.165117263793945,20.24357955550563,20.008189687226004,20.227887995106663,56818400,1.903213658615388
2011-12-06,0.0,0.0,3,-0.3768,0.1014,0.0,20.133731842041016,20.29850595275945,20.09450069483642,20.25142678022713,46175300,-0.1556421484802395
2011-12-08,0.0881,0.1099,4,0.2892,0.3344,0.5,19.92972946166992,20.18081243180552,19.906191368577552,19.99250020420382,60522200,-0.7812222550348191
2011-12-12,0.088,0.1529,7,0.308,0.2144,0.2857,20.016033172607425,20.06311083979152,19.84341406188437,19.937569396252563,38945900,-0.7393167579253124
2011-12-14,0.1,0.2236,5,0.316,0.3178,0.2,20.07880401611328,20.290655764584237,20.063110961432752,20.18080587839259,47926400,-0.6599127470614863
2011-12-15,0.0667,0.1033,6,-0.0197,0.2317,0.3333,20.05526351928711,20.306346396434368,20.039571961894406,20.18080495786074,46213900,-0.11724053288871827
2011-12-16,0.1,0.3606,3,0.0172,0.0298,0.3333,20.400508880615234,20.53389688315908,20.11019328805308,20.141579404685707,101408100,1.7214700818869888
2011-12-19,0.0627,0.14,4,0.011,0.26,0.5,20.031726837158203,20.494661485518964,19.976801144436877,20.416197706774884,52258300,-1.8077100214272224
2011-12-20,0.0247,0.0799,6,0.1286,0.315,0.1667,20.42405128479004,20.478975499899374,20.25143061264913,20.29066326385053,60767600,1.9585153632590835
2011-12-21,0.0875,0.1031,4,0.0058,0.2137,0.5,20.21218681335449,20.549579919751583,19.961103989032477,20.40834545692753,64132500,-1.0373283364859542
2011-12-22,0.15,,1,0.5574,,1.0,20.25143241882324,20.2906650735237,19.99250288409123,20.25927894976333,35794100,0.19416803253975434
2011-12-27,0.0682,0.0964,2,0.0,0.0,0.5,20.43189239501953,20.51035468346323,20.3455820818448,20.369120169749017,21287200,0.03839155180407339
2012-01-03,0.0,0.0,2,0.2498,0.3532,0.0,21.004676818847656,21.15375637364048,20.706514716117372,20.832056181507287,64731500,3.1201995264664273
2012-01-04,0.055,0.0696,4,0.018,0.1759,0.25,21.498994827270508,21.553919027923367,21.01252205299757,21.043906669125395,80516100,2.353371169125995
2012-01-05,0.1389,0.3127,3,0.0674,0.1168,0.3333,21.718698501586918,21.75792965559901,21.412691309889247,21.483307087796515,56081400,1.0219253322379718
2012-01-06,0.1136,,1,0.765,,1.0,22.05608367919922,22.11885440041153,21.600995576266943,21.600995576266943,99455500,1.5534318393325863
2012-01-09,0.0,,1,0.0,,0.0,21.765771865844727,22.048240907702297,21.750078808725466,22.009008264904136,59706800,-1.3162437066208676
2012-01-10,0.037,0.0741,4,0.0683,0.1366,0.25,21.8442325592041,22.087468923793168,21.773615308747264,21.91484980966094,60014400,0.36047742227096613
2012-01-11,0.05,,1,0.0,,0.0,21.75007438659668,21.954079597952788,21.47545342570576,21.52253109091963,65582400,-0.4310436283454955
2012-01-12,0.1932,,1,0.5106,,1.0,21.969770431518555,21.985463483861167,21.695148001810207,21.86776858443526,49370800,1.0100933036682358
2012-01-13,-0.0125,0.1843,4,0.0449,0.3833,0.25,22.16593742370605,22.16593742370605,21.8050060636571,21.914854478181145,60196100,0.892895047761022
